Characteristic,Strength,Strength_HT,Strength_DD,Agility,Agility_Move,Agility_Accuracy,Agility_HT,Agility_DD,Charisma,Charisma_ReactionHero,Charisma_ReactionVillain,Intelligence,Intelligence_HT,Intelligence_DD,Intelligence_Accuracy,Intelligence_DetectEntrances,Intelligence_DetectTraps,Ego,Ego_CompulsoryRetreat,Ego_WillingRetreat,Ego_HP,PublicStanding_ReactionDM,Height,Height_WeightDM,Weight,Job,Pay,PatrolDM,JobNPCLow,JobNPCHigh,Characteristic
0,Pathetic,-2,-7,Wet Week,20,-40,-2,-2,Super Freak,25,-40,Brain Dead,-4,-2,-45,0,0,Manic Depressive,95,100,-25,40,157.5,1d12,45,Other,270+1d20,0,Special or choose,Caretaker,0
1,Weakling,-1,-3,Snail,40,-20,-1,-1,Creepy,15,-20,Moron,-2,-1,-30,0,1,Paranoid,80,95,-10,30,160,1d10,45,Other,270+1d20,0,Special or choose,Caretaker,1
2,Weakling,-1,-3,Snail,40,-20,-1,-1,Creepy,15,-20,Moron,-2,-1,-30,0,1,Paranoid,80,95,-10,30,162.5,1d8,46,Unemployed,60+1d8,0,Astronaut,Caretaker,2
3,Weakling,-1,-3,Snail,40,-20,-1,-1,Ugly,10,-10,Moron,-2,-1,-30,0,1,Shy,50,80,-5,15,162.5,1d8,47,Unemployed,60+1d8,0,Doctor,Caretaker,3
4,Puny,0,-1,Slow,45,-10,-1,0,Ugly,10,-10,Stupid,-1,0,-20,1,1d4,Shy,50,80,-5,15,165,1d8,48,Unemployed,60+1d8,0,Film Star,Caretaker,4
5,Puny,0,-1,Slow,45,-10,-1,0,Ugly,10,-10,Stupid,-1,0,-20,1,1d4,Shy,50,80,-5,15,165,1d8,49,Unemployed,60+1d8,0,Scientist,Secretary,5
6,Puny,0,-1,Slow,45,-10,-1,0,Plain,5,-5,Stupid,-1,0,-20,1,1d4,Average Person,25,65,0,5,167.5,1d6,49,Unemployed,60+1d8,0,Mercenary,Secretary,6
7,Puny,0,-1,Slow,45,-10,-1,0,Plain,5,-5,Dumb,-1,0,-10,2d4,3d4,Average Person,25,65,0,5,167.5,1d6,50,Unemployed,60+1d8,0,Lawyer,Secretary,7
8,Average Person,0,0,Average Person,50,0,0,0,Plain,5,-5,Dumb,-1,0,-10,2d4,3d4,Average Person,25,65,0,5,170,1d4,50,Police Department,240+1d20,-20,Gymnast,Secretary,8
9,Average Person,0,0,Average Person,50,0,0,0,Plain,5,-5,Dumb,-1,0,-10,2d4,3d4,Average SB,10,40,5,0,170,1d4,51,Police Department,240+1d20,-20,Explorer,Secretary,9
10,Average Person,0,0,Average Person,50,0,0,0,Average Person,0,0,Average Person,0,0,0,5d4,6d4,Average SB,10,40,5,0,172.5,0,51,Police Department,240+1d20,-20,Athlete,Secretary,10
11,Average Person,0,0,Average Person,50,0,0,0,Average Person,0,0,Average Person,0,0,0,5d4,6d4,Average SB,10,40,5,0,172.5,0,52,Police Department,240+1d20,-20,Architect,Secretary,11
12,Average Person,0,0,Average Person,50,0,0,0,Average Person,0,0,Average Person,0,0,0,5d4,6d4,Average SB,10,40,5,0,172.5,0,52,Police Department,240+1d20,-20,Builder/Contractor,Secretary,12
13,Average SB,0,1,Average SB,55,0,1,0,Average SB,-5,5,Average Person,0,0,0,5d4,6d4,Average SB,10,40,5,-5,175,0,53,Police Department,240+1d20,-20,Deb Collector,Salesman,13
